formula,space group,piezoelectric modulus (C/m^2),density (g/cm^3),band gap (eV)
Li2MgCdP2-mp-1222661,P-4m2,0.5911,3.1539,2.004
VSb3(PO4)4-mp-754190,Pm,0.5907,3.8861,1.9004
Ti3TeO8-mp-774922,P1,0.5906,3.066,3.1522
Tl2ZnI4-mp-30532,P2_1,0.5901,5.4124,3.0119
ZnCr2O7-mvc-7383,P2_1,0.5901,2.942,2.4238
Na8Al6Si6CO27-mp-39823,R3,0.59,2.1075,3.2507
BaLaZnRuO6-mp-677191,I-4,0.5886,6.7889,0.4875
PNO-mp-36066,Cc,0.5884,2.6144,5.2455
NaFeP2O7-mp-752506,P2_1,0.5884,3.0254,2.5299
BaGa4S7-mp-4309,Pmn2_1,0.5882,3.706,2.5893
LiAsS2-mp-555874,Cc,0.5879,3.0017,1.3757
Li4Mn2P4H3O16-mp-771909,P1,0.5867,2.778,0.5485
YTmO3-mp-768353,P6_3cm,0.5863,6.7985,3.1726
Al(HO)3-mp-554002,P1,0.585,2.3869,5.2323
Ba4NaCu(CO5)2-mp-6841,I-42m,0.5846,4.9752,1.0322
BaNa2O2-mp-755391,Cmc2_1,0.5839,3.6156,1.5213
Li3MgPCO7-mp-772750,P2_1,0.5826,2.4565,5.4592
Ba2CdAs2-mp-1079666,Cmc2_1,0.5824,5.3072,0.3903
ZrSO-mp-3519,P2_13,0.5818,4.8099,2.4206
Li3Mn(CO3)3-mp-758341,Ama2,0.5818,2.4277,0.6729
Rb3NbO8-mp-9808,I-42m,0.5817,3.6975,2.664
Na2SiO3-mp-4533,Cmc2_1,0.5807,2.5403,3.8634
Na(GeP)3-mp-1104707,Pmc2_1,0.5787,3.4449,1.2305
K3VSe4-mp-1147776,I-42m,0.5784,2.4987,1.3264
HoGeAu-mp-13308,F-43m,0.5782,10.41,0.2175
Y3Cu3Sb4-mp-1106051,I-43d,0.5764,7.1956,0.4569
Y2Be2SiO7-mp-6655,P-42_1m,0.576,4.3018,5.1691
LiCoSiO4-mp-752623,P6_222,0.5746,2.659,1.187
LaSi3N5-mp-1019967,P2_12_12_1,0.5718,4.4853,3.1226
LiMn2F6-mp-763784,C2,0.5711,3.3605,0.954
Tl2CdGeTe4-mp-568890,I-42m,0.5709,6.8732,0.431
Li5VO4F-mp-759609,Cm,0.5707,2.6614,1.481
BN-mp-604884,P-6m2,0.5697,2.1282,4.422
RbTl(SO4)2-mp-556120,R32,0.5691,4.1799,1.9891
Li2CuSb-mp-15988,F-43m,0.5683,5.2072,0.5275
Sr2CdAs2-mp-867203,Cmc2_1,0.568,4.9323,1.066
Na3Mo(OF)3-mp-18753,R3,0.5676,3.2164,3.9154
Sm2PbS4-mp-675511,I-42d,0.5669,6.5905,2.0712
PNF2-mp-560008,Cmc2_1,0.5666,2.1955,5.6193
ZrGeTe4-mp-13542,Cmc2_1,0.5666,5.8311,0.4213
Zn2SiH2O5-mp-643814,Imm2,0.5663,3.3385,3.3636
LaF3-mp-334,P6_3cm,0.5661,5.8103,6.0222
CdS-mp-1021511,P3m1,0.566,2.5827,1.5195
TeO2-mp-8377,P2_12_12_1,0.565,5.2748,2.9774
LiFePO4-mp-761486,I-4,0.5641,2.9266,3.4905
KHfPCO7-mp-772778,P2_1,0.5638,3.2267,4.5952
Li3Y3ZrO8-mp-755289,C222,0.5633,4.1229,4.1806
Li2FeSiO4-mp-752853,I-42m,0.5627,3.1246,3.0795
NbO2F-mp-766094,P2_12_12_1,0.5624,3.7644,2.8995
NaPH3NO3-mp-632684,P6_3,0.5623,2.2041,5.1089
Na3VO4-mp-752917,I-42m,0.5612,2.4642,3.9304
Ho3GaO6-mp-31114,Cmc2_1,0.5609,8.2169,3.5644
Na3LiMn5O9-mp-762649,P1,0.5606,4.1486,0.5579
CuPO4-mp-540284,I-4,0.5605,3.4122,0.1399
Sr2CuGe2O7-mp-17265,P-42_1m,0.5599,4.4373,0.0045
H3NO4-mp-706430,Pna2_1,0.5592,1.4932,3.963
NaSiBO4-mp-554947,P6_3,0.559,2.8107,5.4179
HfGeTe4-mp-567817,Cmc2_1,0.5587,6.8358,0.3871
LiMnOF2-mp-759166,Cc,0.5577,3.5971,0.7462
BaAlGeH-mp-1207108,P3m1,0.5577,4.5253,0.8928
Mn(InTe2)2-mp-1221979,I-4,0.5573,5.2822,0.3445
CuCN-mp-35308,R3m,0.5571,2.8196,2.6997
KNa2CuO2-mp-545359,I4mm,0.557,2.8436,1.6028
FeGe-mp-21255,P2_13,0.5562,8.376,0.0989
Cs2Te3-mp-505634,Cmc2_1,0.5555,4.5265,0.5491
Eu(YS2)2-mp-38971,I-42d,0.5538,5.0377,0.4535
H8N2O-mp-625819,Pc,0.5537,0.8592,3.8964
Li5P(S2Cl)2-mp-1040450,Amm2,0.5537,1.9292,2.7792
Na2CaSiO4-mp-555342,P2_13,0.5525,2.7589,3.3468
LiFePO4-mp-757406,Pna2_1,0.5523,2.9081,3.4948
K3Nb3(BO6)2-mp-15248,P-62m,0.5518,3.6851,1.9206
Li4CO4-mp-1180553,I222,0.5516,2.4145,6.1222
Sb2Pb2O7-mp-633099,Ima2,0.5514,7.9547,1.6729
H3NO4-mp-626259,Pna2_1,0.5514,1.8303,3.3338
LiMn5O3F5-mp-759115,R3m,0.5512,3.7323,0.8529
NaGe2N3-mp-14433,Cmc2_1,0.5486,4.6276,2.3393
Mg(InTe2)2-mp-1222182,I-4,0.5483,4.9075,1.4769
BaLiP-mp-10615,P-6m2,0.5475,3.7762,0.6983
Ca2BeSi2O7-mp-6208,P-42_1m,0.5473,3.0243,5.0002
MgScGa-mp-961665,F-43m,0.5469,3.3959,0.0777
LiMnPO4-mp-753011,I-4,0.5447,2.8332,3.6029
LiSnPO4-mp-757042,P2_12_12_1,0.5447,3.4169,3.0457
Ca2BiAsO6-mp-557070,Cmc2_1,0.5446,4.9764,3.3313
K3Ta3(BO6)2-mp-9870,P-62m,0.5444,5.3721,2.691
Li2MnF4-mp-758876,P-42m,0.544,2.4725,4.0468
NaCuP2O7-mp-754637,Cc,0.5435,2.5433,0.6747
Rb3TaO8-mp-5461,I-42m,0.5434,4.39,3.0526
Sr(GdS2)2-mp-37183,I-42d,0.5431,5.5771,1.3271
Li2FePO5-mp-757248,Pmc2_1,0.5429,3.1856,2.5162
LiCaPrTeO6-mp-40186,Pc,0.5429,5.3908,3.3205
Au2O3-mp-27253,Fdd2,0.5418,10.4067,0.8886
LiSnPO4-mp-753654,I-4,0.5409,3.4379,3.0257
Ag3AsS4-mp-9538,Pmn2_1,0.5389,4.6751,0.3576
Li2Cr(CO3)2-mp-754838,Fdd2,0.5388,2.4757,3.3811
H3NO-mp-626534,P2_1,0.5385,1.3974,3.619
SrGaSnH-mp-978852,P3m1,0.5384,5.1072,0.5851
Na2FeO2-mp-754743,Cmc2_1,0.5384,3.2812,0.6485
K2NaVOF5-mp-39843,I4mm,0.5384,2.9005,2.8608
KLiSO4-mp-6318,Cc,0.5374,2.274,5.3246
AlCr(WO4)2-mp-1253422,P1,0.537,5.7137,1.913
CsGeBr3-mp-642739,Cm,0.5369,3.8561,2.2936
Sr3TaGa3(SiO7)2-mp-16136,P321,0.5358,4.9291,3.8664
Sr3Se2(ClO3)2-mp-1218418,C2,0.5356,3.8333,4.3173
Ge2N2O-mp-867745,Cmc2_1,0.5355,4.5316,2.5262
LiMnPO4-mp-765470,Pna2_1,0.5346,3.3629,3.3549
SrHClO-mp-24066,P6_3mc,0.5344,3.0464,4.9849
Zr2P3H4NO12-mp-39770,R3c,0.534,2.911,4.2949
BN-mp-13150,R3m,0.5338,2.0603,4.4847
H8PtO6-mp-626835,P1,0.5336,4.2599,1.9377
BaCuB2O5-mp-551135,C2,0.5329,4.0665,0.5298
Na4SnO3-mp-28261,Cc,0.5315,3.1019,2.0228
Al(HO)3-mp-625318,P1,0.5314,2.389,5.0579
Sr4Al6SeO12-mp-1208447,I-43m,0.5309,3.1379,3.0507
Ba3MgTaNbO9-mp-1228058,P3m1,0.5309,6.6509,2.8373
Nd5AgS8-mp-37449,I-4,0.5307,5.6988,1.624
Cs2ZrTlOF5-mp-42227,I4mm,0.5305,4.9505,4.2386
LiGeBO4-mp-8873,I-4,0.5293,3.5251,4.7012
Ag2S-mp-31053,P2_1,0.5289,5.6222,1.3874
LiVBO4-mp-754909,I-4,0.5272,2.8328,1.5967
LiGe2N3-mp-1020059,Cmc2_1,0.527,4.7102,2.758
NaSnP-mp-29529,P6_3mc,0.5269,3.6518,0.6499
Li2MnF4-mp-763098,I-4,0.5269,2.4398,4.0072
ZnSbAsO5-mvc-16283,P2_12_12_1,0.5268,4.4104,2.4898
Ag2O3-mp-546190,Fdd2,0.5267,6.5891,0.3536
BaZnTe2O7-mp-1191811,Ama2,0.5266,5.777,1.683
NaSnN-mp-12433,P6_3mc,0.5265,4.7781,0.9333
RbH3O2-mp-28264,Cmc2_1,0.526,2.7582,4.2764
BaGaSiH-mp-1008506,P3m1,0.5254,4.6432,0.7853
KLiBeF4-mp-6253,P6_3,0.5254,2.1757,6.8545
Hg3(TeBr)2-mp-27853,I2_13,0.5252,6.9191,1.7064
Na3Sr3GaAs4-mp-10097,P6_3mc,0.5245,3.766,0.4378
TiNiSn-mp-924130,F-43m,0.5245,7.2301,0.4527
PHN2-mp-697139,P2_12_12_1,0.5236,2.5454,4.9669
K3W2N5-mp-1029938,I4_1,0.5234,4.5345,2.18
Li2CoOF3-mp-754564,P4_1,0.5228,3.2452,1.0344
LiAs(HO2)2-mp-23894,Pna2_1,0.5217,2.5799,3.9942
Ca(HoS2)2-mp-34011,I-42d,0.5212,5.6802,2.3683
Be(HO)2-mp-697136,P2_12_12_1,0.5205,1.9005,5.7096
Ba4ScReWO12-mp-1228167,R3m,0.5201,6.8677,1.8574
LiMn2(BO3)2-mp-759375,P1,0.52,3.1278,0.7173
Y3GaO6-mp-554722,Cmc2_1,0.519,5.2556,3.6846
Ag3SI-mp-674981,Pm,0.5183,6.4751,0.2886
UCO5-mp-29761,Imm2,0.518,5.3462,2.2866
KInP2S7-mp-22583,C2,0.5179,2.507,2.1283
Li2HN-mp-34465,Imm2,0.5168,1.4464,2.7785
TaCrO4-mp-753467,I4_1md,0.5156,7.246,2.4948
GaAs-mp-8883,P6_3mc,0.5154,5.0542,0.1925
Li10Sn(PSe6)2-mp-705516,P4_2mc,0.5151,3.3846,1.0869
Nd2PbS4-mp-675620,I-42d,0.5148,6.3377,2.1251
Li7OsO6-mp-34375,P1,0.5143,4.3395,0.689
WS2-mp-9813,R3m,0.5142,6.557,1.6176
DyCuSe2-mp-675349,P3m1,0.5142,6.8331,1.1062
BaAlSiH-mp-571093,P3m1,0.514,3.7511,0.8197
LiGeBO4-mp-549308,Fmm2,0.5138,3.4941,2.8231
BaZn2(BO3)2-mp-557974,P2_12_12_1,0.5137,4.4117,3.2221
KCu4AsS4-mp-557728,P2_1,0.5131,4.1723,1.322
Mn4OF6-mp-754215,P6_3mc,0.5125,4.3202,1.7613
Ge2N2O-mp-778194,Cc,0.5116,4.602,2.4588
GaPO4-mp-677335,I-4,0.5111,2.8662,4.8469
Zr3N2O3-mp-1101160,Cm,0.5107,4.9325,2.5487
H7Se2NO6-mp-24354,P2_12_12_1,0.5105,2.6438,4.2222
Li10Ge(PO6)2-mp-696130,P4_2mc,0.5103,2.5004,4.7586
MgAl2O4-mp-34330,R3m,0.5098,3.4821,4.3566
LiZnN-mp-7575,F-43m,0.5086,4.7705,0.5187
LuCuS2-mp-1001780,P3m1,0.5076,6.4007,1.5031
Re2H4O9-mp-625142,P2_1,0.5073,4.7401,1.9464
TmSbPt-mp-16314,F-43m,0.5061,11.4145,0.2443
KTcCl3-mp-28408,Cc,0.5055,2.9437,1.7152
NaCuO-mp-1008867,F-43m,0.5051,4.4454,0.0017
Cs2Li3I5-mp-608311,C2,0.5044,3.7801,4.1765
RbLiMoO4-mp-556209,Cc,0.5042,3.0374,4.5625
Re2S2O13-mp-974650,Pba2,0.5038,4.2655,2.3901
Ca4Al6WO16-mp-19145,I-43m,0.5036,2.9892,3.8936
P(HO)3-mp-625207,Pna2_1,0.5028,1.628,4.5647
H8PtO6-mp-625111,Cc,0.5021,4.3764,1.6033
Li3MnV(P2O7)2-mp-850951,P1,0.501,2.7799,2.1412
KSrCO3F-mp-865427,P-6m2,0.5007,2.9304,4.1032
CaBiIO2-mp-1227238,I4mm,0.4989,6.122,1.8877
Ca4Al6TeO12-mp-15312,I-43m,0.4986,2.7061,3.1473
SrBe3O4-mp-27791,P-62c,0.4983,3.568,4.1268
BaLiAs-mp-10616,P-6m2,0.497,4.3838,0.5928
RbVBr3-mp-29314,P6_3cm,0.4969,3.8613,0.6103
RbGe2N3-mp-1029403,Cmc2_1,0.4967,5.4383,1.0881
Ba5(SiN3)2-mp-29060,P2_12_12_1,0.4966,5.3949,1.401
CsSO3-mp-561681,P6_3mc,0.496,3.2474,5.1115
Li4Si2NiO7-mp-753715,P1,0.4958,2.9191,3.3853
AlN-mp-1700,F-43m,0.4951,3.1929,3.4683
Li2SnTeO6-mp-8673,Pnn2,0.4951,5.1695,2.0587
SrLiPrTeO6-mp-39144,Cm,0.495,5.9322,3.3139
LiP5-mp-2412,Pna2_1,0.4945,2.3177,1.2083
Ge3Os2-mp-510032,P-4c2,0.4937,12.503,0.8456
Ag3AuS2-mp-34982,P1,0.4935,7.3162,0.4102
BeCN2-mp-1189451,Pna2_1,0.4931,3.2741,5.5354
HoHSe-mp-24012,P-6m2,0.4931,8.2455,1.55
VZn2P2O9-mp-556898,I4cm,0.493,3.4147,2.9186
LiAlSi2H2O7-mp-698018,P1,0.4922,2.2141,4.0006
Fe4O3F5-mp-753217,Imm2,0.492,4.2796,1.524
MnSnO3-mp-691106,R3c,0.4915,5.9825,0.3073
BPPbO5-mp-21266,P3_121,0.4914,5.5435,4.261
KEr(PO3)4-mp-18572,P2_1,0.4904,3.5635,5.3294
LiAlSi-mp-3161,F-43m,0.4902,1.9667,0.1426
ThSnPt-mp-19886,F-43m,0.4897,11.4281,0.8812
CsPbF3-mp-20282,R3c,0.4894,5.6809,3.67
Li3V2(CO3)4-mp-753641,P1,0.4887,2.3219,0.9347
Ba(BrO3)2-mp-28514,Fdd2,0.4882,3.7746,4.3788
GaTeI7-mp-29541,Pc,0.4878,3.8348,1.8822
BeZnO2-mp-550433,I-42d,0.4872,4.751,2.917
HIO3-mp-23963,P2_12_12_1,0.4863,4.3353,3.2505
CdCl2-mp-632403,C2,0.4863,3.4531,2.8987
Ba(NdS2)2-mp-34459,I-42d,0.4847,5.28,1.9351
ReH3O5-mp-626800,P1,0.4846,4.2556,3.7536
Mg(HO)2-mp-626149,P3m1,0.4843,2.1153,4.1369
LiSi2NiO6-mp-753300,C222,0.4839,2.6227,1.2909
K3VO4-mp-19052,I-42m,0.4835,2.2898,3.6402
Hf3SnO8-mp-761842,P2,0.4832,8.7209,3.6368
NaCdF3-mp-4360,R3c,0.4828,4.226,3.482
RbAg2SbS4-mp-17756,P3_221,0.481,4.1066,0.7283
KNbCl6-mp-675801,P2_1,0.481,2.0465,2.1642
BaAlBO3F2-mp-558491,P-62c,0.4801,4.2761,6.0749
AlGaN2-mp-1008556,P-4m2,0.4801,4.6303,2.6691
Mg3B7ClO13-mp-23617,F-43c,0.4798,2.8879,5.931
Zn3Mo2O7-mvc-3669,Cmc2_1,0.4797,6.0588,1.6887
LiVF6-mp-753567,Cc,0.4792,2.2688,3.2557
ZnSO4-mp-545756,F-43m,0.4786,2.2097,4.2721
Tl3SbS3-mp-8393,R3m,0.4783,6.5089,1.7082
Y2Si3N4O3-mp-6941,P-42_1m,0.4782,4.1985,2.8046
KCaCO3F-mp-6867,P-6m2,0.4776,2.5232,4.3552
KY(PO3)4-mp-18661,P2_1,0.4776,2.9833,5.3623
CsSrCl3-mp-998561,R3c,0.4774,2.9425,5.3197
Ge3As4-mp-569600,P-43m,0.4771,5.1289,0.1739
Li2FeF4-mp-755718,I-4,0.4766,2.4257,3.3952
NaHSeO4-mp-1220802,P1,0.4759,2.9077,3.4048
LuSbPt-mp-10194,F-43m,0.4757,11.7075,0.1807
MnTl2GeTe4-mp-638590,I-42m,0.4754,6.7046,0.2056
YCuSe2-mp-675902,P3m1,0.4741,5.4958,1.1056
Na3Sr3GaP4-mp-10096,P6_3mc,0.4739,3.0589,0.7467
KYGeS4-mp-867334,P2_1,0.4737,2.9936,2.4176
ErCuSe2-mp-675180,P3m1,0.4733,7.063,1.0459
Na3WN3-mp-16839,Cc,0.4731,4.4375,1.7694
Zr2N2O-mp-755205,Cm,0.4726,6.1224,1.7211
VPH7N2O5-mp-758131,P2_1,0.4703,2.2306,2.8356
TlSb(PS3)2-mp-1105300,P2_1,0.4697,3.6498,2.1806
Nd2Be2SiO7-mp-9077,P-42_1m,0.4697,5.3481,5.0252
KMnIO6-mp-1205906,P312,0.4696,3.7709,2.0298
SrAl2B2O7-mp-15939,R32,0.4691,2.6579,4.6527
AlB3N4-mp-1019379,P-43m,0.4689,3.3827,3.5993
BeSnAs2-mp-1009084,I-42d,0.4683,5.0739,0.7035
KCuPO4-mp-505349,P2_1,0.4677,3.2388,0.1816
Rb4SnO3-mp-756570,Cc,0.4663,3.8649,1.477
Li2FeO3-mp-774155,C2,0.4644,3.6288,0.0807
YHSe-mp-28797,P-6m2,0.4641,5.5581,1.5589
MgSe-mp-1018040,P6_3mc,0.4638,3.1785,2.5791
RbClO3-mp-23011,R3m,0.4632,2.9328,5.4277
TmCuSe2-mp-36209,P3m1,0.4629,7.1432,1.1916
RbNaCd3O4-mp-1219559,Cm,0.4621,5.2214,0.4397
BaHgS2-mp-28007,Pmc2_1,0.4619,5.7063,1.3288
BeCN2-mp-15703,I-42d,0.4615,3.2913,3.8528
YSbPt-mp-4964,F-43m,0.4615,9.2648,0.1098
KSb(PS3)2-mp-556609,P2_1,0.461,2.6159,2.2731
H4SO5-mp-626229,P1,0.4604,1.9285,5.2569
Na6ZnS4-mp-8389,P6_3mc,0.4603,2.271,2.1583
Na2Zn2Si2O7-mp-6507,Ama2,0.4599,3.4202,3.3387
Na3PO4-mp-4223,P-42_1c,0.4597,2.6443,4.1727
MnPO4-mp-26940,P2_1,0.4596,2.8551,0.8719
Ca4Al6SO12-mp-8876,I-43m,0.4591,2.4101,3.9774
Li5TiN3-mp-686129,P1,0.4589,2.3686,1.5626
CrSbO4-mp-755493,I-4m2,0.4587,5.1817,1.6142
Ca(ClO3)2-mp-753813,Fdd2,0.4584,2.6756,5.0529
Ag3SI-mp-676561,R32,0.458,6.4174,0.3342
Na3GePCO7-mp-756494,P2_1,0.4576,2.8293,4.2445
RbGeBr3-mp-28558,Pna2_1,0.4571,3.5574,1.9851
KAlSiO4-mp-8355,P6_3,0.4565,2.5037,4.5136
Hf3N2O3-mp-761033,Cm,0.4564,9.0319,3.1674
NaH9O5-mp-626165,P1,0.4564,1.3127,3.8289
BaSiC-mp-1009828,I4mm,0.4558,3.1481,0.3906
Ag3PSe4-mp-30908,Pmn2_1,0.4556,5.381,0.1744
Li2Mn3NiO8-mp-775319,R3m,0.4546,4.2602,0.7827
LiMn2F6-mp-757174,P321,0.4542,3.6093,0.3074
RbHO-mp-626620,Cmc2_1,0.4541,3.3159,3.3366
K3SbS4-mp-9781,Cmc2_1,0.454,2.4757,2.1851
KClO3-mp-550506,R3m,0.453,2.2827,5.3356
KPrSiSe4-mp-13538,P2_1,0.4525,4.0869,2.1778
KPH2SO3-mp-643033,Cm,0.452,2.1078,4.8117
Ca(GdS2)2-mp-36358,I-42d,0.4518,5.3362,1.4032
H4CSN2-mp-721896,Pmc2_1,0.4518,1.4262,3.3344
Ca(TbS2)2-mp-38327,I-42d,0.4516,5.4457,2.3188
LiMnPO4-mp-867620,Pna2_1,0.45,2.8126,3.3781
Li2CoSiO4-mp-764642,I-42m,0.4499,3.2539,2.4869
KMnPH2O5-mp-23973,Pmn2_1,0.4497,2.8544,2.864
InAgS2-mp-21459,Pna2_1,0.4497,4.6846,0.5107
K3B6BrO10-mp-23612,R3m,0.4493,2.5679,5.5022
LiCoSiO4-mp-510760,Pna2_1,0.4492,2.9856,1.3998
Na3VS3O-mp-19422,Cmc2_1,0.4487,2.1979,2.0579
NaLiZnS2-mp-1220972,P3m1,0.4476,2.8259,1.8328
Yb(YS2)2-mp-675293,I-42d,0.4475,5.4663,2.3157
Sr2GeSe4-mp-30293,Ama2,0.4474,4.4463,2.1187
SmSnAu-mp-13305,F-43m,0.4472,9.6837,0.0664
AlPO4-mp-545974,P6_3mc,0.446,1.8847,5.3246
Sm3GaO6-mp-31110,Cmc2_1,0.4452,7.0151,3.6272
Cd(AgI2)2-mp-1025377,I-42m,0.4449,4.9453,2.005
KTb(PO3)4-mp-16773,P2_1,0.4443,3.4433,5.3531
Si2H2O5-mp-626037,C2,0.444,1.8903,5.4249
ReNCl4-mp-568100,I4,0.444,3.571,1.1042
Pr2SbO5F-mp-554138,P2_1,0.444,6.8715,3.768
LiFeP2O7-mp-19294,P2_1,0.4438,2.925,1.7885
Si3P2Pt-mp-29157,P1,0.443,5.4292,0.5757
Cu2HgGeS4-mp-557574,Pmn2_1,0.4425,5.3701,0.042
Na6ZnSe4-mp-1024047,P6_3mc,0.4418,3.1237,1.6598
LiP5-mp-32760,Pna2_1,0.4406,2.2828,0.4422
K2Se3-mp-7670,Cmc2_1,0.4404,3.2689,0.6526
LiCrP2O7-mp-19103,P2_1,0.4401,2.9225,3.1902
In5S5Br-mp-510347,Pmn2_1,0.4399,4.831,1.2514
KCrP2S7-mp-7147,C2,0.4397,2.2761,1.2817
Ge2N2O-mp-777483,Cc,0.4396,4.7054,2.3677
LiFePO4-mp-757754,P6_222,0.4396,2.4735,3.1047
Zn2SiO4-mp-556163,I-42d,0.4389,4.4876,2.6817
Sr(SmS2)2-mp-34508,I-42d,0.4386,5.3442,2.1281
Na6P4W-mp-9007,P6_3mc,0.438,2.8253,1.3043
NdBiPd-mp-1008858,F-43m,0.4379,9.4277,0.09
CaMgAsO4F-mp-558016,Cc,0.4371,3.6292,3.9401
CdAg2GeS4-mp-554105,Pmn2_1,0.437,4.634,0.5741
Li7Mn(OF)3-mp-760307,P1,0.437,2.4855,3.0061
Sn3TePb4O13-mp-1219089,R3m,0.4366,8.0772,1.2006
NaYP2O7-mp-9427,P2_1,0.4363,2.9535,5.2923
K6HgS4-mp-5114,P6_3mc,0.435,2.7165,1.7153
Na2CdSnS4-mp-561075,C2,0.435,3.0513,1.9251
LiVSiO4-mp-753343,I-4,0.4344,2.7357,2.5973
Pr3GaO6-mp-753821,Cmc2_1,0.4343,6.273,3.6286
TaSnRh-mp-1100408,F-43m,0.4342,11.2025,1.1405
K5Nb(CN)8-mp-569711,I-4,0.4331,2.0578,1.8153
Zn4P6N12O-mp-557537,I-43m,0.4329,3.9484,3.1303
KPWCO7-mp-755603,P2_1,0.4326,3.3991,2.811
LiFeSiO4-mp-752925,I-4,0.4324,2.9023,2.6353
Li5Mn3O5F3-mp-759593,P1,0.4313,3.5792,0.6642
NaMnCuSe2-mp-1220978,P3m1,0.4313,4.6663,0.4518
La4MnS6O-mp-18292,P6_3mc,0.4307,5.0597,2.2858
P3BrCl14-mp-29033,I4,0.4306,2.1332,1.602
PHN2-mp-35220,I2_12_12_1,0.4302,2.4465,4.8474
BePH3O5-mp-697592,Pna2_1,0.43,2.0293,5.2496
LiH3(SeO3)2-mp-696288,Pc,0.429,3.2355,4.3412
Te4Mo3W(SeS)2-mp-1026972,P3m1,0.4286,5.1529,0.0698
Li6VCrP2(CO7)2-mp-756728,Pm,0.4279,2.7092,1.9898
KCd(NO2)3-mp-11017,R3,0.4278,2.9679,2.3128
As(CN)3-mp-623837,C2,0.427,1.741,4.728
KSnAs-mp-3481,P6_3mc,0.4269,3.9403,0.339
Zn4P6SN12-mp-15833,I-43m,0.4266,3.8342,4.2758
TlZnPO4-mp-18168,P2_1,0.4264,5.4487,3.8141
Nd3GaO6-mp-11773,Cmc2_1,0.4256,6.5325,3.6698
CsLi3Br4-mp-580554,Pmc2_1,0.4254,3.1942,4.0021
Na3PS3O-mp-11738,Cmc2_1,0.4245,2.096,2.8394
LiMnF3-mp-778819,Amm2,0.4238,3.101,3.2554
KZnPO4-mp-18591,Pna2_1,0.4237,3.0717,3.958
CdS-mp-672,P6_3mc,0.4237,4.5757,1.1162
AlPO4-mp-7848,I-4,0.4234,2.1033,5.8209
BaYSi4N7-mp-11670,P6_3mc,0.4232,4.5169,2.734
Tb2YbS4-mp-673682,I-42d,0.4227,7.0427,2.1164
TlSb(PSe3)2-mp-1105142,P2_1,0.4224,4.9311,1.553
KZn2BCl2O3-mp-1078186,R32,0.4223,2.5308,3.7635
Si2CN4-mp-30161,Aea2,0.4222,2.182,4.478
K3SnIrCl8-mp-568970,Pmn2_1,0.4216,3.115,1.5941
Li4CoTeO6-mp-1222462,C2,0.4208,4.4321,2.2623
LiMnAsCO7-mp-770905,P2_1,0.4206,2.9158,1.1523
BH6N-mp-35082,Pmn2_1,0.4206,0.7625,6.0653
BaSi7N10-mp-29703,Pc,0.4205,3.6052,3.9124
LiFe2(ClO)2-mp-755254,Pmm2,0.4205,3.1707,1.2117
Li4MnF8-mp-756952,P2,0.4198,2.5953,2.2418
AsF3-mp-28027,Pna2_1,0.4187,3.0634,5.4005
BaS3-mp-239,P-42_1m,0.4185,3.7555,1.6197
NbOF3-mp-760762,P2_12_12_1,0.4178,3.7136,3.6441
FeSeCl7-mp-28189,P1,0.4177,2.2593,1.3313
Sm5AgS8-mp-37923,I-4,0.4174,6.0507,1.65
H3ClO-mp-34078,R3m,0.4174,1.4194,5.3899
BaZnGeO4-mp-757722,P6_3,0.4174,4.8597,2.8892
GePtSe-mp-20817,Pca2_1,0.417,10.1112,0.6272
NaO3-mp-22464,Imm2,0.417,2.1174,0.6243
InN-mp-20411,F-43m,0.4169,6.6281,0.038
Li2CrO4-mp-756873,P1,0.4163,2.3439,2.5025
LiMgH3-mp-23736,R3c,0.4143,1.2045,4.043
LiSiBO4-mp-8874,I-4,0.414,2.6699,6.4401
CrSi2-mp-1222,P6_222,0.4139,5.0208,0.3863
Tl3VS4-mp-5513,I-43m,0.4137,5.8213,2.0454
Li2MnF4-mp-755582,C2,0.4134,3.0166,3.6791
Ba3ZnB5PO14-mp-1019525,Pmn2_1,0.4132,4.1639,4.8472
Li5(CoO3)2-mp-753251,P1,0.4128,2.8315,0.9509
Li2S-mp-32899,R3m,0.4125,1.6512,1.9737
Sr2H5Rh-mp-35152,I4mm,0.4124,4.1851,0.7778
Mn3Cr(PO4)4-mp-774508,Pm,0.412,3.4613,0.184
Li2Ti(BO3)2-mp-754445,P1,0.4115,2.3148,2.793
CsLi(H2N)2-mp-642740,P6_222,0.4115,2.7475,2.01
NaHfPCO7-mp-767535,P2_1,0.4113,3.4428,4.577
BaBClF4-mp-1103527,Pmn2_1,0.4111,3.5483,5.9841
LiZrPCO7-mp-753649,P2_1,0.411,2.5081,4.161
LiMgN-mp-37906,F-43m,0.4098,2.3877,2.2707
Na5MnO4-mp-28262,Pmn2_1,0.409,2.757,1.3948
SrCu2GeSe4-mp-16179,Ama2,0.4084,5.1232,0.592
H11O8-mp-32854,P1,0.4067,1.1214,0.9944
Li2Fe2SiO6-mp-753647,C222,0.4066,2.6418,2.4928
K2UF6-mp-4731,P-62m,0.4065,4.9585,0.2852
SiO2-mp-557653,Pm,0.4063,2.7916,4.1306
KSb(PSe3)2-mp-7123,P2_1,0.4062,3.866,1.8114
KSnSb-mp-3486,P6_3mc,0.4059,4.0771,0.2804
MnBO3-mp-25296,P-6,0.4057,3.0157,0.5891
BaAl2B2O7-mp-9844,R32,0.4051,2.9343,4.6502
