formula,space group,piezoelectric modulus (C/m^2),density (g/cm^3),band gap (eV)
CaB4O7-mp-11000,Pmn2_1,1.67,3.2358,6.4418
In2Te5-mp-582549,Cc,1.6685,5.4582,0.9209
Sr2TmNbO6-mp-557387,Pnn2,1.6665,6.04,2.857
DyBO3-mp-753318,Ama2,1.6649,6.0976,4.5198
La3Si6N11-mp-1019893,P4bm,1.6648,4.7888,3.0151
Nd3CuSnSe7-mp-18303,P6_3,1.6636,6.2154,1.2614
Ta2CrNO5-mp-849504,Pmn2_1,1.6606,8.0641,1.9566
Li2V3(OF)4-mp-752838,Pm,1.6581,3.4002,1.2208
Li2CrO3-mp-756005,Cmc2_1,1.6544,2.8144,1.4086
LiSnCl3-mp-998591,R3c,1.6537,2.9665,3.4153
BaCO3-mp-675324,Pnn2,1.6529,3.7847,4.0966
CrPO4-mp-27042,Fdd2,1.6515,3.4171,1.5838
YAl3(BO3)4-mp-6062,R32,1.6501,3.6341,5.3745
Li2FeGeO4-mp-1210923,Pmn2_1,1.6464,3.7352,2.5008
VO2F-mp-752960,Cm,1.6413,2.4804,2.5727
LiVO3-mp-763200,C2,1.6335,3.2581,1.9412
VOF3-mp-754919,Pc,1.6306,2.9058,3.026
LiV2CrO6-mp-863111,R3,1.6286,4.1934,0.5245
Y3CuSiSe7-mp-568638,P6_3,1.6283,5.391,1.6207
Li3BePCO7-mp-771341,P2_1,1.626,2.2959,5.3538
TlIO3-mp-22981,R3m,1.6245,6.5337,3.0753
FeHO2-mp-510670,Pmn2_1,1.6226,4.2638,1.8729
MgSiN2-mp-3677,Pna2_1,1.6119,3.0741,4.031
Pb2O3-mp-754071,Pmn2_1,1.6112,10.0297,0.5377
NbCoSn-mp-1094088,F-43m,1.6074,8.4329,1.0775
MgH2-mp-569051,Pca2_1,1.607,1.611,2.3778
Sm3CuGeS7-mp-555978,P6_3,1.6046,5.2257,1.8468
HfTiO4-mp-753197,P1,1.604,6.9897,2.826
Pr4Ag2Se7-mp-675420,Pc,1.6034,6.3288,1.5049
Li2CdGeO4-mp-7688,Pmn2_1,1.6005,4.4571,2.4924
Mg2Ti3O8-mvc-7568,P6_3mc,1.6005,3.6417,2.6528
Y5O4F7-mp-675109,Pc,1.598,4.5502,4.5737
